,College Name,360 Careers Rating,NIRF Rank
332,"Rajiv Gandhi Institute of Technology, Kottayam",AAA+,--
333,"Rajkiya Engineering College, Ambedkar Nagar",AAA+,--
334,"Rajkiya Engineering College, Banda",AAA+,--
335,"Rajkiya Engineering College, Bijnor",AAA+,--
336,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",AAA+,122
337,"SCTR's Pune Institute of Computer Technology, Pune",AAA+,--
338,"SDM College of Engineering and Technology, Dharwad",AAA+,--
339,"SNS College of Technology, Coimbatore",AAA+,--
340,"Sambhram Institute of Technology, Bangalore",AAA+,--
341,"Sardar Patel College of Engineering, Mumbai",AAA+,180
342,"Saveetha School of Engineering, Chennai",AAA+,--
343,"School of Engineering and Technology, Jain University, Bangalore",AAA+,--
344,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Vishnupuri",AAA+,--
345,"Shri Ramdeobaba College of Engineering and Management, Nagpur",AAA+,112
346,"Shri Vishnu Engineering College for Women, Bhimavaram",AAA+,183
347,"Siksha 'O' Anusandhan, Bhubaneswar",AAA+,32
348,"Sir M Visvesvaraya Institute of Technology, Bangalore",AAA+,--
349,"Sona College of Technology, Salem",AAA+,101
350,"Sree Chitra Thirunal College of Engineering, Thiruvananthapuram",AAA+,--
351,"Sree Vidyanikethan Engineering College, Tirupati",AAA+,167
352,"Sreenidhi Institute of Science and Technology, Ghatkesar",AAA+,--
353,"Sri Eshwar College of Engineering, Coimbatore",AAA+,--
354,"Sri Ramakrishna Engineering College, Coimbatore",AAA+,138
355,"Sri Ramakrishna Institute of Technology, Coimbatore",AAA+,--
356,"Sri Sai Ram Institute of Technology, Chennai",AAA+,194
357,"Sri Venkateswara College of Engineering, Sriperumbudur",AAA+,143
358,"Sri Venkateswara University, Tirupati",AAA+,89
359,"St Joseph's College of Engineering, Chennai",AAA+,128
360,"THDC Institute of Hydro Power Engineering and Technology, Tehri",AAA+,--
361,"Techno India University, Kolkata",AAA+,--
362,"Thadomal Shahani Engineering College, Mumbai",AAA+,--
363,"The NorthCap University, Gurgaon",AAA+,117
364,"University Institute of Engineering and Technology CSJMU, Kanpur",AAA+,--
365,"University Institute of Information Technology, Shimla",AAA+,--
